"city","time","temp","humidity","weather_description","wind_speed","clouds","precipitation_prob","rain","partition_id"
"Atlanta","2025-08-27 06:00:00","69.57","46","broken clouds","6.76","69","0.0",,"forecast"
"Atlanta","2025-08-26 12:00:00","67.84","47","overcast clouds","5.53","97","0.0",,"forecast"
"Atlanta","2025-08-23 12:00:00","70.92","90","overcast clouds","7.07","96","0.0",,"forecast"
"Atlanta","2025-08-26 09:00:00","69.17","43","clear sky","6.62","4","0.0",,"forecast"
"Atlanta","2025-08-26 15:00:00","71.38","37","overcast clouds","6.38","99","0.0",,"forecast"
"Atlanta","2025-08-23 00:00:00","75.45","88","moderate rain","5.64","100","1.0","5.86","forecast"
"Atlanta","2025-08-23 03:00:00","73.44","89","overcast clouds","7.29","100","0.0",,"forecast"
"Atlanta","2025-08-22 21:00:00","78.22","74","light rain","8.59","100","1.0","2.66","forecast"
"Atlanta","2025-08-25 12:00:00","70.39","83","clear sky","5.48","3","0.0",,"forecast"
"Atlanta","2025-08-23 12:00:00","71.06","92","overcast clouds","6.42","100","0.0",,"forecast"
"Atlanta","2025-08-22 06:00:00","73.47","86","light rain","3.06","52","1.0","1.27","forecast"
"Atlanta","2025-08-24 12:00:00","70.03","87","overcast clouds","4.34","97","0.0",,"forecast"
"Atlanta","2025-08-25 06:00:00","74.52","76","clear sky","5.95","6","0.07",,"forecast"
"Atlanta","2025-08-23 15:00:00","77.16","74","light rain","7.2","96","0.2","0.19","forecast"
"Atlanta","2025-08-26 21:00:00","81.41","32","overcast clouds","9.37","97","0.0",,"forecast"
"Atlanta","2025-08-24 21:00:00","84.67","50","overcast clouds","4.63","88","0.32",,"forecast"
"Atlanta","2025-08-25 00:00:00","78.22","74","light rain","6.93","77","1.0","1.34","forecast"
"Atlanta","2025-08-26 00:00:00","81.37","33","few clouds","11.39","22","0.0",,"forecast"
"Atlanta","2025-08-27 00:00:00","77.18","32","overcast clouds","9.17","90","0.0",,"forecast"
"Atlanta","2025-08-25 15:00:00","81.54","48","clear sky","8.28","3","0.0",,"forecast"
"Atlanta","2025-08-26 09:00:00","68.59","45","overcast clouds","5.86","95","0.0",,"forecast"
"Atlanta","2025-08-22 06:00:00","72.64","86","light rain","3.06","25","1.0","1.27","forecast"
"Atlanta","2025-08-23 09:00:00","70.65","94","overcast clouds","5.91","96","0.0",,"forecast"
"Atlanta","2025-08-25 15:00:00","77.85","35","clear sky","8.03","0","0.0",,"forecast"
"Atlanta","2025-08-24 00:00:00","75.99","81","light rain","5.68","92","1.0","2.8","forecast"
"Atlanta","2025-08-23 21:00:00","77.76","79","moderate rain","6.15","95","1.0","6.45","forecast"
"Atlanta","2025-08-26 03:00:00","74.66","41","clear sky","10.76","8","0.0",,"forecast"
"Atlanta","2025-08-22 12:00:00","70.54","88","overcast clouds","5.19","90","0.0",,"forecast"
"Atlanta","2025-08-26 12:00:00","68.11","43","overcast clouds","4.68","93","0.0",,"forecast"
